INFO:root:Blob add op (0, 0, 255) + (0, 255, 0) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (198,219) + Blob of color:(0, 0, 255), size: 7, location: (191,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (191,220) + Blob of color:(0, 0, 255), size: 5, location: (198,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (197,220) + Blob of color:(0, 0, 255), size: 7, location: (191,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (191,220) + Blob of color:(0, 0, 255), size: 5, location: (197,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (196,219) + Blob of color:(0, 0, 255), size: 7, location: (192,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,219) + Blob of color:(0, 0, 255), size: 5, location: (196,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (197,219) + Blob of color:(0, 0, 255), size: 7, location: (192,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,220) + Blob of color:(0, 0, 255), size: 5, location: (197,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (196,219) + Blob of color:(0, 0, 255), size: 7, location: (193,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,221) + Blob of color:(0, 0, 255), size: 5, location: (196,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,219) + Blob of color:(0, 0, 255), size: 7, location: (193,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,222) + Blob of color:(0, 0, 255), size: 5, location: (195,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,220) + Blob of color:(0, 0, 255), size: 7, location: (194,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,221) + Blob of color:(0, 0, 255), size: 5, location: (195,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,221) + Blob of color:(0, 0, 255), size: 7, location: (194,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,222) + Blob of color:(0, 0, 255), size: 5, location: (195,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,220) + Blob of color:(0, 0, 255), size: 7, location: (194,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,221) + Blob of color:(0, 0, 255), size: 5, location: (195,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,219) + Blob of color:(0, 0, 255), size: 7, location: (193,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,222) + Blob of color:(0, 0, 255), size: 5, location: (195,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,219) + Blob of color:(0, 0, 255), size: 7, location: (193,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,222) + Blob of color:(0, 0, 255), size: 5, location: (195,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,219) + Blob of color:(0, 0, 255), size: 7, location: (192,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,221) + Blob of color:(0, 0, 255), size: 5, location: (195,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,218) + Blob of color:(0, 0, 255), size: 7, location: (193,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,221) + Blob of color:(0, 0, 255), size: 5, location: (195,218) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (196,218) + Blob of color:(0, 0, 255), size: 7, location: (193,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,222) + Blob of color:(0, 0, 255), size: 5, location: (196,218) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (197,219) + Blob of color:(0, 0, 255), size: 7, location: (192,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,223) + Blob of color:(0, 0, 255), size: 5, location: (197,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (198,220) + Blob of color:(0, 0, 255), size: 7, location: (192,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,222) + Blob of color:(0, 0, 255), size: 5, location: (198,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,221) + Blob of color:(0, 0, 255), size: 7, location: (192,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,223) + Blob of color:(0, 0, 255), size: 5, location: (199,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,221) + Blob of color:(0, 0, 255), size: 7, location: (193,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,223) + Blob of color:(0, 0, 255), size: 5, location: (199,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,220) + Blob of color:(0, 0, 255), size: 7, location: (192,224) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,224) + Blob of color:(0, 0, 255), size: 5, location: (199,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,221) + Blob of color:(0, 0, 255), size: 7, location: (193,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,225) + Blob of color:(0, 0, 255), size: 5, location: (199,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,220) + Blob of color:(0, 0, 255), size: 7, location: (193,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,225) + Blob of color:(0, 0, 255), size: 5, location: (199,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (200,220) + Blob of color:(0, 0, 255), size: 7, location: (193,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,225) + Blob of color:(0, 0, 255), size: 5, location: (200,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (201,220) + Blob of color:(0, 0, 255), size: 7, location: (192,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,226) + Blob of color:(0, 0, 255), size: 5, location: (201,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (201,219) + Blob of color:(0, 0, 255), size: 7, location: (193,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,226) + Blob of color:(0, 0, 255), size: 5, location: (201,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (200,220) + Blob of color:(0, 0, 255), size: 7, location: (193,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,226) + Blob of color:(0, 0, 255), size: 5, location: (200,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (200,220) + Blob of color:(0, 0, 255), size: 7, location: (193,226) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,226) + Blob of color:(0, 0, 255), size: 5, location: (200,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,221) + Blob of color:(0, 0, 255), size: 7, location: (193,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,225) + Blob of color:(0, 0, 255), size: 5, location: (199,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (200,221) + Blob of color:(0, 0, 255), size: 7, location: (193,224) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,224) + Blob of color:(0, 0, 255), size: 5, location: (200,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,221) + Blob of color:(0, 0, 255), size: 7, location: (193,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,225) + Blob of color:(0, 0, 255), size: 5, location: (199,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (198,221) + Blob of color:(0, 0, 255), size: 7, location: (192,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,225) + Blob of color:(0, 0, 255), size: 5, location: (198,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,220) + Blob of color:(0, 0, 255), size: 7, location: (192,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,225) + Blob of color:(0, 0, 255), size: 5, location: (199,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (200,220) + Blob of color:(0, 0, 255), size: 7, location: (191,224) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (191,224) + Blob of color:(0, 0, 255), size: 5, location: (200,220) 
